id,projectNumber,dateModified,title,description,status,start,end,countries,executingAgencyPartner,DACSectors,maximumContribution,ContributingOrganization,expectedResults,resultsAchieved,aidType,collaborationType,financeType,flowType,reportingOrganisation,programName,selectionMechanism,policyMarkers,regions,alternameImPositions,budgets,Locations,otherIdentifiers,participatingOrgs,programDataStructure,relatedActivities,transactions
117,CA-3-A032187001,2025-03-04T06:33:31,Agricultural Alternatives Program,This project aims to develop environmentally sustainable and economically sound agricultural programs that can present an alternative to growing coca in rural regions of Columbia.   Ecofondo is a network of 200 NGOs that work together in order to develop agricultural projects and programs that aim to be environmentally sustainable. The economic viability of the programs contributes indirectly to conflict prevention by providing people in rural areas with peaceful ways to earn their living and decreasing the chances of recruitment in illegal armed groups.   The project is active in 10 regions of the country and focuses on three self-reinforcing sectors: 1) agricultural production; 2) environmental conservation and ; 3) institutional strengthening and policy development in the field of ecological agriculture and environmental conservation.,Closed,2004-03-11T00:00:00,2010-05-31T00:00:00,"[""Colombia 100.00%""]",ECOFONDO ,"[""Democratic participation and civil society 20.00%"", ""Agricultural alternative development 60.00%"", ""Environmental policy and administrative management 10.00%"", ""Environmental education/training 10.00%""]",4927685.20,,,"Results as of June 2010 when the project ended include: 1,360 families in ten sub-regions of 17 of the 32 departments of Colombia are benefitting directly from the project with their regular monthly incomes increasing to above US$200 from the previous US$135 per month. Each family significantly reduced its monthly expenditures, produced the equivalent of US$95 per month in food supplies for its own consumption, and reduced its monthly spending on food by US$62.  2,250 children now have permanent access to a balanced and nutritional diet of fresh and healthy foods produced on family land holdings.  5,099 persons were trained in agro ecology, organisational processes and environmental conservation.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""200000.00"", ""1200000.00"", ""1200000.00"", ""1200000.00"", ""1200000.00""]","[""4.60971 -74.08175""]","[""2004000109""]","[""ECOFONDO ""]",,,"[""4927685.20"", ""500000.00"", ""536245.00"", ""4000.00"", ""493000.00"", ""470000.00"", ""447912.00"", ""240678.00"", ""214059.00"", ""296317.00"", ""461600.00"", ""465691.00"", ""216812.00"", ""211898.00"", ""191788.00"", ""50000.00""]"
118,CA-3-A032192001,2025-03-04T06:33:31,Middle East Program in Civil Society and Peace Building Phase 2,"This project aims to promote human rights, particularly people's access to social services in Jordan and the West Bank and Gaza. CIDA's contribution supports the establishment of five social development centres and helps them implement programs promoting empowerment and equality and strengthen civil society within disadvantaged communities. The centres also advocate for the legal entitlements of low-income individuals and their families in social services, health care, and education.",Closed,2003-12-12T00:00:00,2013-01-11T00:00:00,,McGill University ,"[""Higher education 20.00%"", ""Democratic participation and civil society 40.00%"", ""Human rights 40.00%""]",9324867.43,,,"Results achieved as of the end of the project include: Five community centres were established and have provided legal and social services to more than 450,000 individuals in Jordan and the West Bank since 2003; the centres provided life-skills training, housing and school revitalization programs, and health promotion programs for the elderly; and three centres have increased their ability to sustain their operations and raise funds. Overall, CIDA’s contribution has helped empower civil society organizations and increase their capacity to respond to the needs of vulnerable people.",Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,"EGM Europe, Arctic, Middle East and Magh",Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""Middle East, regional""]",,"[""755139.00"", ""1656243.00"", ""1340138.00"", ""805139.00""]","[""33.5102 36.29128"", ""31.95522 35.94503"", ""33.88894 35.49442"", ""39.91987 32.85427"", ""15.35472 44.20667"", ""31.93 35.205"", ""33.34058 44.40088""]","[""2003000602""]","[""McGill University ""]",,,"[""9324867.43"", ""185000.00"", ""385000.00"", ""500000.00"", ""446314.32"", ""500000.00"", ""313714.86"", ""22665.39"", ""332966.58"", ""324955.89"", ""259123.86"", ""231554.05"", ""56668.32"", ""9459.97"", ""533049.59"", ""574549.59"", ""435013.53"", ""632203.95"", ""406091.15"", ""676888.89"", ""287688.00"", ""-78275.84"", ""78275.84"", ""78275.84"", ""57880.57"", ""157594.65"", ""30000.00"", ""238797.05"", ""189620.63"", ""333898.00"", ""222112.00"", ""84842.00"", ""75874.75"", ""231483.00"", ""404359.00""]"
119,CA-3-A032196001,2025-03-04T06:33:31,Agriculture Marketing Information Project,"The project supports the establishment of a sustainable and relevant Agricultural Market Information System to be run by the Agriculture Marketing Office (AMO) of the Ministry of Agriculture, Forestry and Fisheries (MAFF). The project aims to improve farmers' knowledge on the use of market information and establish greater links between farmers and final buyers. At the same time, it supports increased coordination between government departments also responsible for collecting and using agriculture market information. Finally, the project supports capacity development in both the use of the system and the information, while ensuring that this capacity is sustainable for the long-term and institutionalized within Cambodian government bodies.   The project improves the productivity and income of Cambodian farmers; ensures that the Ministry of Agriculture, Fisheries and Forestry's Agriculture Marketing Office and provincial offices assume ownership and responsibility for continuous management and operation of the Agriculture Marketing Information System; and increases the capacity of Cambodian institutions and organisations to provide agriculture-marketing services to farmers.",Closed,2004-02-17T00:00:00,2011-12-09T00:00:00,"[""Cambodia 100.00%""]",Alinea International Ltd ,"[""Agricultural extension 50.00%"", ""Agricultural services 50.00%""]",4366193.67,,,"Results achieved as of the end of the project include: Farmers who applied grading techniques (a process whereby produce is categorized according to quality) saw an overall annual revenue increase of US$125 to US$130 per farmer. 80.3% of farmers continue to grade their produce following the Farmer Marketing School training provided through the project, indicating a high degree of sustainability. Agricultural Marketing Offices throughout Cambodia’s 24 provinces use information collection and analysis methods and tools developed by the project. Today, over 500 traders continue to submit price information to the Agricultural Marketing Information System, thereby improving farmers’ access to market information and understanding of market demand.",Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1073000.00"", ""1218000.00"", ""920000.00"", ""771000.00"", ""518000.00""]","[""11.56245 104.91601""]","[""2005000057""]","[""Alinea International Ltd ""]",,,"[""4366193.67""]"
120,CA-3-A032197001,2025-03-04T06:33:31,Support to Rural Local Governance,"This project works with two of the country's 30 districts (Nyaruguru and Nyamagabe in Southern Province) on the implementation of their development plans, enabling them to contribute effectively to poverty reduction in a region of Rwanda where 75% of the population falls below the national poverty line.   The project's objective is to increase the ability of men and women in the two districts to take control of their own development. Its expected impacts are a more dynamic economy and a higher community standard of living in both districts, and more effective and equitable service delivery by local governments.   A Canadian coordinating agency (the consortium Centre for International Studies and Cooperation and Experco International) provides coaching, training, management tools, and organisational development for local elected officials and staff, as well as their civil society partners. In parallel, and in partnership with Rwanda's Common Development Fund, the project finances the construction of rural infrastructure, for example, feeder roads, agricultural terracing, micro-hydropower, schools, and health centres. The project offers the local authorities concerned the opportunity to plan and implement rural infrastructure projects in collaboration with rural associations and the private sector and to improve their management capacity, enabling them to offer better service to their public.   Lastly, the project also seeks to strengthen the national voice for district governments, the Rwanda Association for Local Government Authorities (RALGA). It aims to strengthen the association's advocacy for municipal interests and its training for local elected officials.",Closed,2006-09-26T00:00:00,2012-09-28T00:00:00,"[""Rwanda 100.00%""]",Consortium CECI - Experco International ,"[""Public sector policy and administrative management 60.00%"", ""Democratic participation and civil society 40.00%""]",12156524.07,,,"Results achieved by the end of the project (June 2012) include: According to the evaluation of Rwanda’s Economic Development and Poverty Reduction Strategy (2007 2011), the proportion of the population living in poverty in Nyaruguru district decreased from 57% (2007) to 38% (2011). Malnutrition declined by 38% during the same period. The PAGOR project’s capacity-building approach in both districts will be replicated throughout the 30 districts of Rwanda. Elements of the approach have been adopted in Rwanda’s national capacity-building strategy. In the capacity-building component, 12,000 elected officials, personnel from districts and NGOs, and citizens were trained in planning, management, and citizen engagement. In both districts, for example, 8,272 people (including 3,242 women) received training regarding their rights. Thanks to this training, village land disputes decreased by 80%. When the project started up, civil-society organizations (CSOs) said they were not consulted in planning processes. In 2011, districts consulted all CSOs through forums and even national institutions and organizations. With the “support to development sub projects” component, the project helped to facilitate access to health, drinking water, and education services for 61,500 people, to improve the living conditions of 26,000 people, and to improve the socio economic development conditions of 31,000 people. For example, the construction of the Ngera health centre in Nyaruguru district enabled 15,922 people to benefit from health services within an average radius of less than 4 km. The rehabilitation of the drinking water supply system in Ruramba, Nyaruguru district, enabled 2,100 people, who previously used water from streams, to obtain their supply of drinking water less than 100 metres from where they live.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""400000.00"", ""2000000.00"", ""2200000.00"", ""2200000.00"", ""2200000.00"", ""2200000.00"", ""970000.00""]","[""-1.94995 30.05885""]","[""2005000405""]","[""Consortium CECI - Experco International ""]",,,"[""12156524.07"", ""142500.00"", ""118750.00"", ""92900.00"", ""25850.00"", ""114000.00"", ""6000.00""]"
121,CA-3-A032198001,2025-03-04T06:33:31,Rural Enterprise Expansion,"This project aims to improve the enabling environment for Micro and Small and Medium Enterprises (MSMEs) in selected rural areas. Activities focus on building capacity of the Women's Union and Vietnam Co-operative Alliance to establish and manage sustainable business development centres. Project objectives include fostering growth of rural micro/small enterprise, mainstreaming women in business, and furthering dialogue and policy promoting women and micro/small enterprises.   Overall, the project is expected to lead to an increased number and visibility of micro and small and medium enterprises in target areas and the creation of decent, safe and permanent employment.",Closed,2004-09-02T00:00:00,2011-04-28T00:00:00,"[""Vietnam 100.00%""]",Oxfam-Québec ,"[""Business support services and institutions 30.00%"", ""Small and medium-sized enterprises (SME) development 45.00%"", ""Rural development 25.00%""]",4721862.21,,,"Results as of April 2011 (end of project) include: This project achieved its expected results by contributing to the growth of micro, small and medium enterprises (MSMEs), including women-owned enterprises, in the three target provinces. A 2010 survey of 109 participating MSMEs revealed that 100% earned increased profits over the course of the project. The increase in the viability of MSMEs in the target provinces was complemented by the strengthened capacity of key MSME enablers, such as the provincial Women’s Union and Cooperative Alliance, in financial and human resource management, leadership and time management, results based management, business development services, and other areas. By creating space and support for private business enterprises, this project has contributed in a concrete way to Vietnam’s transition towards an open market-oriented economy.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""800000.00"", ""1300000.00"", ""1000000.00"", ""800000.00"", ""600000.00""]","[""21.0245 105.84117""]","[""2004000719""]","[""Oxfam-Québec ""]",,,"[""4721862.21"", ""190000.00"", ""233551.59"", ""57250.69"", ""126469.16"", ""192191.34"", ""87269.07"", ""103484.38"", ""138251.59"", ""104931.36"", ""281228.28"", ""114743.76"", ""67008.80"", ""-16277.52"", ""16277.52"", ""16277.52"", ""174398.35"", ""157731.64"", ""212999.76"", ""317122.62"", ""406900.52"", ""22451.02"", ""420678.25"", ""213963.16"", ""275661.46"", ""453816.59"", ""341420.83"", ""41927.67"", ""-82664.02""]"
122,CA-3-A032206001,2025-03-04T06:33:31,Agriculture in Mine-Affected Areas,"This project strengthens the implementation of sustainable integrated agriculture development and mine action in support of poverty alleviation. <p> The project aims to reduce poverty among poor and vulnerable men and women farmers in up to six mine-affected districts in northwest Cambodia by increasing food security and income. The project contributes to good governance by strengthening the decentralized administrative structures delivering agriculture extensions (including micro-finance) and mine action services. A key feature of the project is the mainstreaming of the goal of gender equality in the implementation processes. <p> This project strengthens responsive and integrated agriculture extensions and micro-finance services that increase production and income for vulnerable farmers, address gender inequalities, and improve quality of life. It also improves community-based, participatory and gender responsive land use planning and mine risk reduction programs that reduce accidents, release land and contribute to agriculture development.",Closed,2005-09-01T00:00:00,2013-02-14T00:00:00,"[""Cambodia 100.00%""]",Geospatial International Pty Ltd. ,"[""Public sector policy and administrative management 25.00%"", ""Removal of land mines and explosive remnants of war 25.00%"", ""Informal/semi-formal financial intermediaries 10.00%"", ""Agricultural development 40.00%""]",4952037.21,,,"Results achieved as of the end of the project include: The project’s beneficiaries were able to increase both production and the yields of their crops, using skills they learned from agricultural extension and micro-credit and savings services. For example, the average increase in crop yields over three years was 54% for corn and 120% for chicken. This translated into an average increase in income over three years of 117% for corn and 159% for chicken. The abilities of three participating Mine Action Mapping Units were strengthened, which resulted in the processing of landmine clearance requests for 1,368 sites covering a total area of 9,572 hectares benefiting 13,014 families. The project helped establish 32 Agricultural Cooperatives (ACs) in order to maintain the credit capital accumulated during the project and better coordinate the farmers’ relationship with suppliers, traders, wholesalers, and processors. With 4,913 members (including 57% women), the ACs mobilised US$713,594 and are performing well after a year and a half of operation.",Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""100000.00"", ""1300000.00"", ""1200000.00"", ""1200000.00"", ""1200000.00""]","[""11.56245 104.91601""]","[""2005000059""]","[""Geospatial International Pty Ltd. ""]",,,"[""4952037.21""]"
123,CA-3-A032212001,2025-03-04T06:33:31,Institutional Development for Poverty Reduction,"The project supports the Aga Khan Rural Support Program's (AKRSP) work in Pakistan's Northern Areas and in the district of Chitral. The purpose is to achieve improvement in peoples' livelihoods by increasing their human and institutional capacities and by expanding and diversifying their economic opportunities. AKRSP is acting as a broker and capacity builder as opposed to a direct provider of services and is facilitating partnerships between village organizations and women's organizations, government, civil society, and the private sector. Their strategy aims to increase self-reliance in the region and is comprised of three components: social development; women's development; and policy dialogue and partnership. It targets rural poverty and contributes to a wider process of policy reform and institutional development in the Northern Areas specifically, and in the country as a whole.",Closed,2004-10-20T00:00:00,2011-04-01T00:00:00,"[""Pakistan 100.00%""]",Aga Khan Foundation Canada ,"[""Democratic participation and civil society 100.00%""]",8460976.02,,,"Results achieved as of the end of the project (January 2011) include: from additional $100,000 given for flood response community organizations quickly responded to the impact of the 2010 floods, restoring infrastructure in 151 communities and providing access to food and clean drinking water for 155,329 affected people in 15,981 households (200 villages). AKRSP’s advocacy efforts for women’s development contributed to an increased 33% of elected seats in the project area designated for women. Most of the 125 women elected are members of AKRSP-fostered organizations. Public sector institutions are integrating AKRSP’s data, tools and monitoring techniques such as poverty mapping into their policies and practices.",Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1072000.00"", ""1827150.00"", ""1827150.00"", ""1827150.00"", ""2106550.00"", ""340000.00""]","[""33.72148 73.04329""]","[""2004000336""]","[""Aga Khan Foundation Canada ""]",,,"[""8460976.02"", ""200000.00"", ""500000.00"", ""423149.00"", ""433438.00"", ""194428.00"", ""370743.00"", ""-15523.00"", ""15523.00"", ""15523.00"", ""320917.00"", ""179083.00"", ""53133.00"", ""500000.00"", ""479777.00"", ""524624.00"", ""97234.00"", ""399700.00"", ""500000.00"", ""376206.00"", ""446054.00"", ""485000.00"", ""72272.00"", ""436173.00"", ""-167974.74"", ""167974.74"", ""167979.00"", ""322288.00"", ""154501.00"", ""157348.00"", ""381936.00"", ""95000.00"", ""-381936.00"", ""381937.00"", ""29093.00"", ""5000.00""]"
124,CA-3-A032214001,2025-03-04T06:33:31,Bolivia Program Support Unit,"The Program Support Unit (PSU) provides essential services to support the planning and delivery of Canada's official development assistance to Bolivia. Such services include logistical and administrative services, project monitoring, management of local funds, and analytical and professional services.",Closed,2007-02-01T00:00:00,2015-01-30T00:00:00,"[""Bolivia 100.00%""]",Embassy of Canada to Bolivia ,"[""Multisector aid 100.00%""]",4627782.55,,,,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1060375.00"", ""866535.00"", ""926530.00"", ""1083245.00"", ""945600.00""]","[""-16.5 -68.15""]","[""2006000271""]","[""Embassy of Canada to Bolivia ""]",,,"[""4627782.55"", ""22295.72"", ""22295.72"", ""9925.18"", ""22295.72"", ""10933.46"", ""22295.72"", ""11829.04"", ""22295.72"", ""22295.72"", ""19945.60"", ""22295.72"", ""2818.38"", ""8779.58"", ""22295.72"", ""22295.72"", ""18250.60"", ""22295.72"", ""28131.56"", ""1880.95"", ""22295.72"", ""12545.94"", ""22295.72"", ""24338.33"", ""14977.12"", ""21224.56"", ""22295.72"", ""22295.72"", ""5944.03"", ""22295.72"", ""26325.08"", ""22295.72"", ""34153.98"", ""73369.71"", ""20763.00"", ""22295.72"", ""22295.72"", ""36771.55"", ""22295.72"", ""44176.78"", ""22295.72"", ""55424.76"", ""22295.72"", ""22295.72"", ""37792.31"", ""92620.39"", ""-22295.72"", ""22295.72"", ""51902.06"", ""22295.72"", ""22295.72"", ""49411.76"", ""22295.72"", ""16308.20"", ""27469.33"", ""53851.45"", ""-27469.33"", ""27469.33"", ""81799.67"", ""27469.33"", ""24318.58"", ""27469.33"", ""27469.33"", ""62490.94"", ""26193.52"", ""27469.33"", ""27469.33"", ""27469.33"", ""48706.43"", ""27469.33"", ""38058.29"", ""30774.67"", ""52740.22"", ""27469.33"", ""27469.33"", ""38470.07"", ""27469.33"", ""28118.46"", ""27469.33"", ""39188.65"", ""23494.26"", ""41802.87"", ""-52925.79"", ""52925.79"", ""51340.53"", ""37477.83"", ""58004.44"", ""61262.22"", ""53291.90"", ""21535.93"", ""22773.63"", ""40559.65"", ""22251.49"", ""25664.75"", ""63118.45"", ""22773.60"", ""18529.87"", ""51410.95"", ""22733.15"", ""56392.63"", ""22278.53"", ""25337.30"", ""40333.82"", ""20082.57"", ""22773.60"", ""39609.45"", ""19835.04"", ""29765.41"", ""22773.60"", ""24998.27"", ""20343.74"", ""50829.13"", ""22773.60"", ""26097.92"", ""24339.72"", ""30151.71"", ""-46921.41"", ""-23021.14"", ""23021.14"", ""46921.41"", ""23021.14"", ""46921.41"", ""18610.78"", ""19400.17"", ""18188.46"", ""57738.57"", ""26578.32"", ""18188.46"", ""5120.66"", ""21401.15"", ""35686.26"", ""19212.82"", ""31367.51"", ""22359.57"", ""47631.72"", ""21233.55"", ""37589.99"", ""22192.95"", ""45744.38"", ""-17068.64"", ""17068.64"", ""17068.64"", ""33908.96"", ""22876.77"", ""40936.29"", ""20145.23"", ""32744.89"", ""-21481.09"", ""21481.09"", ""21481.09"", ""32152.14"", ""23222.54"", ""23947.82"", ""16934.85"", ""43069.83"", ""15052.77"", ""28587.35"", ""22570.46"", ""30453.25"", ""23471.07"", ""25320.92"", ""32462.04"", ""22629.24"", ""46883.77"", ""18202.26"", ""22817.99"", ""21416.79"", ""34609.77"", ""-18659.06"", ""18659.06"", ""18659.06"", ""24977.64"", ""21328.98"", ""22594.44"", ""22570.46"", ""42224.62"", ""21193.18"", ""27617.41"", ""21052.75"", ""24560.54"", ""19412.96"", ""20722.13"", ""13609.47"", ""16414.61"", ""18052.98"", ""18264.91"", ""21307.04"", ""14342.66"", ""17361.81"", ""7297.76"", ""17227.27"", ""6115.52"", ""15454.07"", ""3153.16"", ""15661.15"", ""13127.49"", ""15661.15"", ""9866.94"", ""11376.97"", ""3543.42"", ""16691.74"", ""13331.14"", ""16156.33"", ""9415.87"", ""14878.19"", ""17227.39"", ""1872.27"", ""15661.15"", ""4236.77"", ""10962.81""]"
125,CA-3-A032217001,2025-03-04T06:33:31,Strategic Governance Mechanism,"This project aims to strengthen public sector democratic governance in Bolivia. To achieve this, the project works mainly with four public institutions, namely the National Ombudsperson's Office (Defensor del Pueblo), the National Institute of Statistics, the Auditor General's Office, and the National Electoral Court. These institutions are all strategic national-level public institutions that play a key role in the transparent and effective exercise of democratic governance in Bolivia. They have all demonstrated a strong management capacity and their activities are closely aligned with CIDA's priorities in Bolivia. In parallel, the project also provides short-term funding on a responsive basis to support and encourage good governance efforts led by other Bolivian public institutions.",Closed,2007-02-08T00:00:00,2014-12-31T00:00:00,"[""Bolivia 100.00%""]",Defensoria del Pueblo - Bolivia ,"[""Public sector policy and administrative management 60.00%"", ""Public finance management 20.00%"", ""Human rights 20.00%""]",17480613.92,,,"Results achieved as of December 2011 include: In 2011, the National Ombudsperson's Office improved its efficiency in processing human rights complaints from an average of 31.8 days to 28.2 days per complaint. This improvement does not match the average of 19 days reported in 2009. The reduced efficiency over the past two years is attributed to staff turnover following the appointment of a new Ombudsman and the recent implementation of a new pilot system for addressing complaints designed to improve the effectiveness of the complaints process once it is fully implemented. This increased efficiency helps to ensure that potential human rights violations are addressed in a timely manner, offering improved chances for successful resolution.   Between 2009 and 2010, the National Institute of Statistics produced 65 statistical products, including ongoing data on gross domestic product (GDP) and external trade, surveys on tourism and time use, and statistics on public security and indigenous populations. These national statistics help to inform results-based policy development and decision-making.   During 2011, the Auditor General's Office implemented 77% of its 2011 Annual Plan activities (down from 85% in 2010). The Auditor General's Office faced leadership challenges in 2011, with turnover of staff in key positions.   Over 2010 and 2011, the Supreme Electoral Tribunal (formerly the National Electoral Court) digitized a total of 19,200,000 civil registry records while completing quality control on 90% of these records (the remaining 10% to be completed in 2012). This has resulted in enhanced security for citizens and downstream efficiencies for service delivery. Also in 2011, voter registration increased to 5.2 million citizens, up from 5.1 million and 3.7 million in 2010 and 2006 respectively. As a result, a greater proportion of eligible citizens have been enfranchised to vote.",Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1000000.00"", ""4000000.00"", ""4000000.00"", ""4000000.00"", ""4000000.00"", ""1000000.00""]","[""-16.5 -68.15""]","[""2007000019""]","[""Defensoria del Pueblo - Bolivia ""]",,,"[""17480613.92"", ""354630.00"", ""1178300.00"", ""392240.12"", ""996900.00"", ""249225.00"", ""798160.00"", ""968050.00"", ""141232.00"", ""-775440.00"", ""775440.00"", ""775440.00"", ""311325.00"", ""1200000.00"", ""558150.00"", ""315450.00"", ""689950.00"", ""500000.00"", ""500000.00"", ""918990.00"", ""125000.00"", ""-110128.37"", ""500000.00"", ""125000.00"", ""500000.00"", ""286787.00"", ""285897.88"", ""814223.00"", ""80100.00"", ""430000.00"", ""1000000.00"", ""8834.00"", ""440165.00"", ""-20587.64"", ""160000.00"", ""-94582.30"", ""-51298.51""]"
126,CA-3-A032223001,2025-03-04T06:33:31,Canadian International Immunization Initiative (CIII),"While progress has been made in vaccinating children against preventable diseases, there remains a clear need for continuing to support childhood immunization worldwide. The Canadian International Immunization Initiative (CIII) and the Global Alliance on Vaccines and Immunization (GAVI) provide a complementary approach to immunization. CIII continues to focus on basic childhood immunization and systems strengthening, while GAVI provides vaccines for other diseases such as hepatitis B that make up a substantial burden of disease in developing countries.",Closed,2003-10-15T00:00:00,2010-06-30T00:00:00,,PAHO - Pan American Health Organization ,"[""Infectious disease control 100.00%""]",10131435.54,,,"Results achieved as of the end of the project include: CIDA’s investment has contributed to the Pan American Health Organization's Strategic Plan for Immunization and to progress in achieving a 95% coverage rate in all countries of the hemisphere. This has led, among other things, to improving the quality of vaccines and syringes used in national immunization programs, improving immunization uptake among hard-to reach groups, enhancing laboratory capacity to diagnose vaccine-preventable childhood diseases. Early detection and immunization for yellow fever, and surveillance of invasive diseases (caused by Streptococcus pneumoniae, Haemophilus influenzae b and Neisseria Meningitidis) have been put in place in the region. National regulatory agencies have also been strengthened.",Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""America, regional""]",,"[""1700000.00"", ""1700000.00"", ""1700000.00"", ""1700000.00"", ""1700000.00""]","[{""geoName"": ""6255150"", ""SRSName"": ""http://www.opengis.net/def/crs/EPSG/0/4326""}]","[""2009200055""]","[""PAHO - Pan American Health Organization ""]",,,"[""10131435.54"", ""1700000.00"", ""1700000.00"", ""1700000.00"", ""1700000.00"", ""1700000.00"", ""1300000.00"", ""500000.00"", ""-166107.09"", ""-2457.37""]"
